transect,int,long,lat,nasc,bin
1,1,-118.3572062,32.13574898,0,1
1,2,-118.3389243,32.14536253,0,1
1,3,-118.3209388,32.15431337,0,1
1,4,-118.3031962,32.16301091,0,1
1,5,-118.2851205,32.17199805,0,1
1,6,-118.2673317,32.18090766,0,1
1,7,-118.2495048,32.18955652,435.9061366,2
1,8,-118.2313329,32.19833339,0,1
1,9,-118.2131656,32.20692884,0,1
1,10,-118.1951792,32.21582284,144.8309518,1
1,11,-118.177673,32.22482727,0,1
1,12,-118.1591999,32.23383451,183.5428684,1
1,13,-118.1413454,32.24221737,634.7377077,3
1,14,-118.123202,32.25102788,820.1501279,3
1,15,-118.105207,32.25990482,64.6033829,1
1,16,-118.0873381,32.2687443,39.2277751,1
1,17,-118.0691658,32.27750067,0,1
1,18,-118.0512551,32.28634191,1599.985995,3
1,19,-118.0333958,32.29519368,0,1
1,20,-118.0154477,32.30390274,44.58992665,1
1,21,-117.9980487,32.31313705,0,1
1,1,-117.9945413,32.32306835,3.210766238,1
1,2,-117.9846488,32.33903461,1.00182695,1
1,3,-117.9752632,32.3544865,0,1
1,4,-117.9661667,32.37012734,0,1
1,5,-117.9576667,32.386,0,1
1,6,-117.9491539,32.40199256,0,1
1,7,-117.940625,32.41792929,0,1
1,8,-117.9327955,32.43389384,0,1
1,9,-117.9248476,32.44982998,0,1
1,10,-117.9165619,32.46580478,0,1
1,11,-117.9082166,32.48177356,0,1
1,12,-117.8994398,32.49787515,0,1
1,13,-117.8905,32.5135,0,1
1,14,-117.8823133,32.5295388,0,1
1,15,-117.8744597,32.5457498,110.8048829,1
1,16,-117.8659413,32.56139199,27.6932238,1
1,17,-117.8565668,32.57715006,564.6216189,3
1,18,-117.8479904,32.59322424,1065.126435,3
1,19,-117.839796,32.60948923,488.8279118,2
1,20,-117.8315735,32.62550148,0,1
1,21,-117.8152825,32.63001114,13946.11207,5
1,22,-117.7943546,32.62782645,259.2637415,2
1,23,-117.773661,32.62534611,0,1
1,24,-117.7529954,32.62286526,389.6344812,2
1,25,-117.7320371,32.62053337,0,1
1,26,-117.7113745,32.61851291,0,1
1,27,-117.6905858,32.617,0,1
1,28,-117.6698252,32.61493008,2.2836547,1
1,29,-117.649195,32.61217583,0,1
1,30,-117.6285736,32.6093669,0,1
1,31,-117.6080564,32.60733333,402.716658,2
1,32,-117.5871757,32.60501325,1747.701715,3
1,33,-117.566346,32.60258261,820.4829687,3
1,34,-117.5457925,32.60063674,81.51955725,1
